x,y
3996346.03783,20586357.6366
4000105.13816,20586357.6366
4003864.2385,20586357.6366
4007623.33883,20586357.6366
4011382.43916,20586357.6366
4015141.53949,20586357.6366
4018900.63983,20586357.6366
4022659.74016,20586357.6366
4026418.84049,20586357.6366
4030177.94082,20586357.6366
4033937.04115,20586357.6366
4037696.14149,20586357.6366
4041455.24182,20586357.6366
4045214.34215,20586357.6366
4048973.44248,20586357.6366
4052732.54281,20586357.6366
4056491.64315,20586357.6366
4060250.74348,20586357.6366
4064009.84381,20586357.6366
4067768.94414,20586357.6366
4071528.04448,20586357.6366
4075287.14481,20586357.6366
4079046.24514,20586357.6366
4082805.34547,20586357.6366
4086564.4458,20586357.6366
4090323.54614,20586357.6366
4094082.64647,20586357.6366
4097841.7468,20586357.6366
4101600.84713,20586357.6366
4105359.94747,20586357.6366
4109119.0478,20586357.6366
4112878.14813,20586357.6366
4116637.24846,20586357.6366
4120396.34879,20586357.6366
4124155.44913,20586357.6366
4127914.54946,20586357.6366
4131673.64979,20586357.6366
4135432.75012,20586357.6366
4139191.85045,20586357.6366
4142950.95079,20586357.6366
4146710.05112,20586357.6366
4150469.15145,20586357.6366
4154228.25178,20586357.6366
4157987.35212,20586357.6366
4161746.45245,20586357.6366
4165505.55278,20586357.6366
4169264.65311,20586357.6366
4173023.75344,20586357.6366
4176782.85378,20586357.6366
4180541.95411,20586357.6366
4184301.05444,20586357.6366
4188060.15477,20586357.6366
4191819.25511,20586357.6366
4195578.35544,20586357.6366
4199337.45577,20586357.6366
4203096.5561,20586357.6366
4206855.65643,20586357.6366
4210614.75677,20586357.6366
4214373.8571,20586357.6366
4218132.95743,20586357.6366
4221892.05776,20586357.6366
4225651.15809,20586357.6366
4229410.25843,20586357.6366
4233169.35876,20586357.6366
4236928.45909,20586357.6366
4240687.55942,20586357.6366
4244446.65976,20586357.6366
4248205.76009,20586357.6366
4251964.86042,20586357.6366
4255723.96075,20586357.6366
4259483.06108,20586357.6366
4263242.16142,20586357.6366
4267001.26175,20586357.6366
4270760.36208,20586357.6366
4274519.46241,20586357.6366
4278278.56275,20586357.6366
4282037.66308,20586357.6366
4285796.76341,20586357.6366
4289555.86374,20586357.6366
4293314.96407,20586357.6366
4297074.06441,20586357.6366
4300833.16474,20586357.6366
4304592.26507,20586357.6366
4308351.3654,20586357.6366
4312110.46573,20586357.6366
4315869.56607,20586357.6366
4319628.6664,20586357.6366
4323387.76673,20586357.6366
4327146.86706,20586357.6366
4330905.9674,20586357.6366
4334665.06773,20586357.6366
4338424.16806,20586357.6366
4342183.26839,20586357.6366
4345942.36872,20586357.6366
4349701.46906,20586357.6366
4353460.56939,20586357.6366
4357219.66972,20586357.6366
4360978.77005,20586357.6366
4364737.87039,20586357.6366
4368496.97072,20586357.6366
4372256.07105,20586357.6366
4376015.17138,20586357.6366
4379774.27171,20586357.6366
4383533.37205,20586357.6366
4387292.47238,20586357.6366
4391051.57271,20586357.6366
4394810.67304,20586357.6366
4398569.77337,20586357.6366
4402328.87371,20586357.6366
4406087.97404,20586357.6366
4409847.07437,20586357.6366
4413606.1747,20586357.6366
4417365.27504,20586357.6366
4421124.37537,20586357.6366
4424883.4757,20586357.6366
4428642.57603,20586357.6366
4432401.67636,20586357.6366
4436160.7767,20586357.6366
4439919.87703,20586357.6366
4443678.97736,20586357.6366
4447438.07769,20586357.6366
4451197.17803,20586357.6366
4454956.27836,20586357.6366
4458715.37869,20586357.6366
4462474.47902,20586357.6366
4466233.57935,20586357.6366
4469992.67969,20586357.6366
4473751.78002,20586357.6366
4477510.88035,20586357.6366
4481269.98068,20586357.6366
4485029.08102,20586357.6366
4488788.18135,20586357.6366
4492547.28168,20586357.6366
4496306.38201,20586357.6366
4500065.48234,20586357.6366
4503824.58268,20586357.6366
4507583.68301,20586357.6366
4511342.78334,20586357.6366
4515101.88367,20586357.6366
4518860.984,20586357.6366
4522620.08434,20586357.6366
4526379.18467,20586357.6366
4530138.285,20586357.6366
4533897.38533,20586357.6366
4537656.48567,20586357.6366
4541415.586,20586357.6366
4545174.68633,20586357.6366
4548933.78666,20586357.6366
4563970.18799,20586357.6366
4567729.28832,20586357.6366
4571488.38866,20586357.6366
4575247.48899,20586357.6366
4579006.58932,20586357.6366
4582765.68965,20586357.6366
4586524.78998,20586357.6366
4590283.89032,20586357.6366
4594042.99065,20586357.6366
4597802.09098,20586357.6366
4601561.19131,20586357.6366
4605320.29164,20586357.6366
4609079.39198,20586357.6366
4612838.49231,20586357.6366
4616597.59264,20586357.6366
4620356.69297,20586357.6366
4624115.79331,20586357.6366
4627874.89364,20586357.6366
4631633.99397,20586357.6366
4635393.0943,20586357.6366
4639152.19463,20586357.6366
4642911.29497,20586357.6366
4646670.3953,20586357.6366
3996346.03783,20582598.5363
4000105.13816,20582598.5363
4003864.2385,20582598.5363
4007623.33883,20582598.5363
4011382.43916,20582598.5363
